,id,match,date,home_red,home_yellow,home_team,home_goal,away_goal,away_team,away_yellow,away_red,home_goal_half,away_goal_half,main_bet,goals_bet,footGoal_bet,footGoal_home_half,footGoal_home,footGoal_away_half,footGoal_away,flag,f_home_goal_all_h_3,f_away_goal_all_h_3,f_home_yellow_all_h_3,f_home_red_all_h_3,f_away_yellow_all_h_3,f_away_red_all_h_3,f_flag_all_h_3,f_net_goal_all_h_3,f_net_yellow_all_h_3,f_date_all_h_3,f_diff_time_all_h_3
45,46,英超,18/09/15,0,3,伯恩茅斯,4,2,莱斯特,3,1,3,0,-0.25,2.5,10.5,0,4,0,6,1,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.3333333333333333,2.6666666666666665,0.3333333333333333,1.0,0.428553062011628,-0.5999820005399839,18/05/05,63.0
19,20,英超,18/10/02,0,3,伯恩茅斯,2,1,水晶宫,4,0,1,0,-0.25,2.75,10.5,1,3,2,3,1,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.0,0.3333250002083281,-0.2727198349135933,18/08/11,35.666666666666664
5,6,英超,18/10/20,0,1,伯恩茅斯,0,0,南安普顿,2,0,0,0,-0.25,2.75,10.5,1,6,2,4,1,2.6666666666666665,1.6666666666666667,2.0,0.3333333333333333,3.3333333333333335,0.6666666666666666,1.0,0.23076390544833578,-0.24999531258788898,18/08/25,36.333333333333336
1580,1581,英超,14/08/23,0,0,切尔西,2,0,莱斯特,1,0,0,0,-1.75,3.0,11.0,4,8,3,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1561,1562,英超,14/09/13,0,0,切尔西,4,2,斯旺西,3,0,1,1,-1.25,2.75,11.0,4,7,1,4,1,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.9998500224966255,-0.9997000899730081,0,7.0
1538,1539,英超,14/09/27,0,2,切尔西,3,0,阿斯顿维拉,2,0,1,0,-1.75,3.0,10.5,5,9,1,2,1,2.0,0.6666666666666666,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666,0.4999812507030987,-0.9999250056245782,0,16.333333333333332
1526,1527,英超,14/10/05,0,4,切尔西,2,0,阿森纳,3,0,1,0,-0.75,2.75,10.5,1,2,0,2,1,3.0,0.6666666666666666,0.6666666666666666,0.0,2.0,0.0,1.0,0.636346281465051,-0.4999812507030987,14/08/23,24.333333333333332
1507,1508,英超,14/11/01,0,0,切尔西,2,1,女王公园巡游者,0,0,1,0,-2.25,3.25,10.5,10,13,1,2,1,3.0,0.6666666666666666,2.0,0.0,2.6666666666666665,0.0,1.0,0.636346281465051,-0.1428540816982493,14/09/13,37.0
1487,1488,英超,14/11/22,0,1,切尔西,2,0,西布朗维奇,0,1,2,0,-1.75,3.0,10.5,7,15,0,0,1,2.3333333333333335,0.3333333333333333,2.0,0.0,1.6666666666666667,0.0,1.0,0.7499718760546478,0.09090661163786438,14/09/27,41.666666666666664
1460,1461,英超,14/12/04,0,1,切尔西,3,0,托特纳姆热刺,1,0,2,0,-1.25,2.75,11.0,0,1,2,6,1,2.0,0.3333333333333333,1.6666666666666667,0.0,1.0,0.3333333333333333,1.0,0.7142551033527134,0.24999062535154928,14/10/05,35.0
1446,1447,英超,14/12/13,0,3,切尔西,2,0,赫尔,4,1,1,0,-2.0,3.0,11.0,2,5,2,2,1,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,1.0,0.7499718760546478,0.33330000333300003,14/11/01,24.0
1428,1429,英超,14/12/26,0,0,切尔西,2,0,西汉姆,3,0,1,0,-1.5,3.0,11.5,5,8,1,6,1,2.3333333333333335,0.0,1.6666666666666667,0.0,1.6666666666666667,0.6666666666666666,1.0,0.9999571446937987,0.0,14/11/22,23.0
1395,1396,英超,15/01/10,0,2,切尔西,2,0,纽卡斯尔,3,0,1,0,-1.75,3.0,11.0,4,7,2,3,1,2.3333333333333335,0.0,1.3333333333333333,0.0,2.6666666666666665,0.3333333333333333,1.0,0.9999571446937987,-0.3333250002083281,14/12/04,26.666666666666668
1371,1372,英超,15/02/01,0,0,切尔西,1,1,曼城,2,0,1,1,-0.25,2.5,11.0,1,1,4,8,1,2.0,0.0,1.6666666666666667,0.0,3.3333333333333335,0.3333333333333333,1.0,0.9999500024998749,-0.33332666679999734,14/12/13,36.333333333333336
1352,1353,英超,15/02/12,0,3,切尔西,1,0,埃弗顿,4,1,0,0,-1.25,2.5,11.0,4,10,1,2,1,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,2.6666666666666665,0.0,1.0,0.6666333349999167,-0.5999820005399839,14/12/26,30.666666666666668
1347,1348,英超,15/02/21,1,1,切尔西,1,1,伯恩利,2,0,1,0,-2.0,3.0,11.0,5,7,3,7,1,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.0,3.0,0.3333333333333333,1.0,0.5999640021598704,-0.2857081633964986,15/01/10,23.666666666666668
1317,1318,英超,15/03/15,0,3,切尔西,1,1,南安普顿,3,0,1,1,-0.75,2.25,10.5,1,8,2,2,1,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.3333333333333333,1.0,0.19998800071995684,-0.3333250002083281,15/02/01,31.666666666666668
1297,1298,英超,15/04/05,0,1,切尔西,2,1,斯托克城,6,0,1,1,-1.5,2.5,11.0,6,9,0,0,1,1.0,0.6666666666666666,2.3333333333333335,0.3333333333333333,3.0,0.3333333333333333,1.0,0.19998800071995684,-0.12499765629394445,15/02/12,38.666666666666664
1278,1279,英超,15/04/19,0,3,切尔西,1,0,曼联,1,0,1,0,-0.5,2.25,10.5,2,3,5,7,1,1.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,3.6666666666666665,0.0,1.0,0.14285102067054267,-0.3749929688818335,15/02/21,35.333333333333336
1256,1257,英超,15/05/03,0,2,切尔西,1,0,水晶宫,2,0,1,0,-1.5,2.75,11.0,2,3,2,6,1,1.3333333333333333,0.6666666666666666,2.3333333333333335,0.0,3.3333333333333335,0.0,1.0,0.3333166674999583,-0.17646747410339816,15/03/15,30.333333333333332
1246,1247,英超,15/05/10,0,4,切尔西,1,1,利物浦,3,0,1,1,-0.25,2.25,10.5,4,6,2,4,1,1.3333333333333333,0.3333333333333333,2.0,0.0,3.0,0.0,1.0,0.5999640021598704,-0.1999960000799984,15/04/05,21.0
1232,1233,英超,15/05/24,0,2,切尔西,3,1,桑德兰,1,0,1,1,-1.75,3.0,11.0,3,11,3,3,1,1.0,0.3333333333333333,3.0,0.0,2.0,0.0,1.0,0.49996250281228916,0.1999960000799984,15/04/19,23.333333333333332
1218,1219,英超,15/08/09,1,1,切尔西,2,2,斯旺西,3,0,2,1,-1.25,2.5,10.0,4,4,1,8,1,1.6666666666666667,0.6666666666666666,2.6666666666666665,0.0,2.0,0.0,1.0,0.428553062011628,0.1428540816982493,15/05/03,88.66666666666667
1190,1191,英超,15/08/29,0,1,切尔西,1,2,水晶宫,1,0,0,0,-1.25,2.75,11.0,4,7,5,7,1,2.0,1.3333333333333333,2.3333333333333335,0.3333333333333333,2.3333333333333335,0.0,1.0,0.19999400017999464,0.0,15/05/10,76.0
1174,1175,英超,15/09/19,0,3,切尔西,2,0,阿森纳,3,2,0,0,0.0,2.75,10.5,2,5,2,5,1,2.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.0,1.0,0.09090661163786438,-0.11110740753086013,15/05/24,60.0
